imgRE_TRANSACTIONRE_NUMBER,7
maklum,15
tmpdoodleRE_NUMBERRE_TRANSACTION,34
setrika,4
uap,1
obeng,1
ajcRE_NUMBER,37
kolom,33
wajib,13
sembarang,1
lolos,24
poso,3
pesisir,3
RE_NON_ASCIIg,0
servis,8
bukalapakRE_NON_ASCII,1
bekam,0
tembak,18
mata,22
RE_NUMBERmata,2
bahu,1
polisi,22
benerRE_NUMBER,21
tiRE_NUMBERpan,0
blRE_NUMBERrslfe,0
#RE_TRANSACTIONRE_TICKET,0
lipat,15
keranjang,25
#blRE_NUMBERjtbeinv,0
RE_NUMBERqodhlj,0
RE_NUMBERqRE_NUMBERdRE_NUMBERls,0
jokosamudraRE_NUMBERRE_MENTION,0
ahuRE_NUMBER,22
blRE_NUMBERdwRE_NUMBERinv,0
RE_NUMBERmaretRE_NUMBER,5
bacot,1
RE_NUMBERhmivRE_NUMBERinv,0
rajin,0
adil,4
versi,3
alquran,0
blRE_NUMBERyRE_NUMBERaqviv,0
cgkacRE_NUMBER,8
beranda,2
laeticiakilaRE_MENTION,9
passwordnyaRE_NON_ASCII,1
